sector,series,status,integration_order,order,statistic,p_value,lag,n
XBANK,return_value,ok,0,0,-8.246486104671131,5.536301202177124e-13,0,71
XBANK,volatility,ok,0,0,-5.819103333566992,4.2238837611291674e-07,0,71
XBANK,brent,ok,1,0,-1.6511748684253702,0.45642776818565856,0,71
XBANK,brent,ok,1,1,-7.182819722137491,2.622871855684537e-10,0,70
XBANK,cpi,ok,1,0,3.1899665798737566,1.0,1,70
XBANK,cpi,ok,1,1,-2.9716171425602687,0.03763136704196231,0,70
XBANK,gdp_growth,ok,0,0,-3.7358482199653835,0.0036362589465021725,3,68
XBANK,industrial_production,ok,1,0,-1.9213863113769616,0.32206815711965586,0,71
XBANK,industrial_production,ok,1,1,-9.063330286783486,4.5013316112452704e-15,0,70
XBANK,policy_rate,ok,2,0,-1.662603985266445,0.4504756521676075,2,69
XBANK,policy_rate,ok,2,1,-2.3018615880018456,0.1713682752789017,1,69
XBANK,policy_rate,ok,2,2,-16.259047061058496,3.581305762674381e-29,0,69
XBANK,usdtry,ok,1,0,1.5986001745470477,0.9978533700943237,0,71
XBANK,usdtry,ok,1,1,-6.843645070538554,1.7652201893314187e-09,0,70
XUSIN,return_value,ok,0,0,-7.029271465371138,6.246319826016582e-10,0,71
XUSIN,volatility,ok,0,0,-6.313656062774996,3.189244866724985e-08,0,71
XUSIN,brent,ok,1,0,-1.6511748684253702,0.45642776818565856,0,71
XUSIN,brent,ok,1,1,-7.182819722137491,2.622871855684537e-10,0,70
XUSIN,cpi,ok,1,0,3.1899665798737566,1.0,1,70
XUSIN,cpi,ok,1,1,-2.9716171425602687,0.03763136704196231,0,70
XUSIN,gdp_growth,ok,0,0,-3.7358482199653835,0.0036362589465021725,3,68
XUSIN,industrial_production,ok,1,0,-1.9213863113769616,0.32206815711965586,0,71
XUSIN,industrial_production,ok,1,1,-9.063330286783486,4.5013316112452704e-15,0,70
XUSIN,policy_rate,ok,2,0,-1.662603985266445,0.4504756521676075,2,69
XUSIN,policy_rate,ok,2,1,-2.3018615880018456,0.1713682752789017,1,69
XUSIN,policy_rate,ok,2,2,-16.259047061058496,3.581305762674381e-29,0,69
XUSIN,usdtry,ok,1,0,1.5986001745470477,0.9978533700943237,0,71
XUSIN,usdtry,ok,1,1,-6.843645070538554,1.7652201893314187e-09,0,70
