cause,effect,k,dmax,n,statistic,p_value,whiteness_p,residual_ok,status,q_value,sector,scope
brent,return_value,1,1,70,0.011051799451585268,0.9162746074332963,0.528630864254812,True,ok,0.9162746074332963,XBANK,full_sample_descriptive_not_feature_selection
cpi,return_value,2,1,69,3.2562213845870036,0.19630009528526413,0.7885542795935282,True,ok,0.30306069496210436,XBANK,full_sample_descriptive_not_feature_selection
gdp_growth,return_value,1,0,71,2.4692783749942273,0.11609121259182587,0.00044549368486904693,False,ok,0.30306069496210436,XBANK,full_sample_descriptive_not_feature_selection
industrial_production,return_value,1,1,70,0.4712652064323154,0.49240568956935804,0.20251862018918584,True,ok,0.5908868274832296,XBANK,full_sample_descriptive_not_feature_selection
policy_rate,return_value,3,2,67,4.6175646723288875,0.20204046330806957,0.7059774326163852,True,ok,0.30306069496210436,XBANK,full_sample_descriptive_not_feature_selection
usdtry,return_value,1,1,70,4.431095047620031,0.03528985976659597,0.2686892122496171,True,ok,0.21173915859957582,XBANK,full_sample_descriptive_not_feature_selection
brent,volatility,1,1,70,2.1093207042010027,0.14640429401470342,0.19481706538311624,True,ok,0.8363263332412557,XBANK,full_sample_descriptive_not_feature_selection
cpi,volatility,2,1,69,0.4803291320738003,0.7864984194880783,0.4262363204788204,True,ok,0.9437981033856939,XBANK,full_sample_descriptive_not_feature_selection
gdp_growth,volatility,1,0,71,0.2858008781027096,0.592924078490829,7.857457523215741e-05,False,ok,0.8893861177362434,XBANK,full_sample_descriptive_not_feature_selection
industrial_production,volatility,1,1,70,0.003625229034022905,0.9519884809622223,0.23165325336830694,True,ok,0.9519884809622223,XBANK,full_sample_descriptive_not_feature_selection
policy_rate,volatility,3,2,67,3.844297662932894,0.2787754444137519,0.6079471250404505,True,ok,0.8363263332412557,XBANK,full_sample_descriptive_not_feature_selection
usdtry,volatility,1,1,70,0.28763074100650515,0.5917428227693791,0.8172231707167361,True,ok,0.8893861177362434,XBANK,full_sample_descriptive_not_feature_selection
brent,return_value,1,1,70,0.3841409398690871,0.5353953649014509,0.18682166542627912,True,ok,0.6855956171231883,XUSIN,full_sample_descriptive_not_feature_selection
cpi,return_value,2,1,69,0.7549346089596225,0.6855956171231883,0.5057763176023733,True,ok,0.6855956171231883,XUSIN,full_sample_descriptive_not_feature_selection
gdp_growth,return_value,1,0,71,0.8658084530664083,0.3521183256549235,0.0004970294305571756,False,ok,0.6855956171231883,XUSIN,full_sample_descriptive_not_feature_selection
industrial_production,return_value,1,1,70,0.2941994032310247,0.5875419363831195,0.0019207952336677211,False,ok,0.6855956171231883,XUSIN,full_sample_descriptive_not_feature_selection
policy_rate,return_value,3,2,67,3.552058170650971,0.3140728504926197,0.01640377696163084,False,ok,0.6855956171231883,XUSIN,full_sample_descriptive_not_feature_selection
usdtry,return_value,1,1,70,3.272458389979256,0.07045197423422683,0.3078767257927786,True,ok,0.422711845405361,XUSIN,full_sample_descriptive_not_feature_selection
brent,volatility,1,1,70,0.031350350273753234,0.8594610242063558,0.7922413885039156,True,ok,0.9866947146748487,XUSIN,full_sample_descriptive_not_feature_selection
cpi,volatility,2,1,69,0.026789187401723025,0.9866947146748487,0.689839813600446,True,ok,0.9866947146748487,XUSIN,full_sample_descriptive_not_feature_selection
gdp_growth,volatility,1,0,71,0.13442043188855574,0.7138921024240759,0.00023503867682889438,False,ok,0.9866947146748487,XUSIN,full_sample_descriptive_not_feature_selection
industrial_production,volatility,1,1,70,0.05828728383281948,0.809223727139281,0.12338639738463891,True,ok,0.9866947146748487,XUSIN,full_sample_descriptive_not_feature_selection
policy_rate,volatility,3,2,67,5.202965368588725,0.15752420398773462,0.20891451286173005,True,ok,0.9451452239264078,XUSIN,full_sample_descriptive_not_feature_selection
usdtry,volatility,1,1,70,0.970998287464146,0.32443133504273575,0.3380937888331877,True,ok,0.9732940051282073,XUSIN,full_sample_descriptive_not_feature_selection
