sector,target,model,n,mae,rmse,mae_low,mae_high,baseline_mae,mae_improvement
XBANK,return,historical_mean,12,0.0791593377984773,0.10061148049504919,0.05345034793007026,0.10612319006445692,0.0791593377984773,0.0
XBANK,return,persistence,12,0.11236331268208154,0.14077232781438906,0.06568880426087523,0.17380834563235278,0.0791593377984773,-0.41945746145747753
XBANK,return,ridge,12,0.07692167706477943,0.0968579109594518,0.05029393292314971,0.10295490043385905,0.0791593377984773,0.028267805112196287
XBANK,return,xgboost,12,0.07201845348454318,0.0906584677951807,0.046336720491300436,0.09676928492950537,0.0791593377984773,0.09020899507918168
XBANK,volatility,historical_mean,12,0.051355101494536565,0.06133011932953143,0.03380506346833066,0.07431145587230252,0.051355101494536565,0.0
XBANK,volatility,persistence,12,0.07669177184481336,0.10017730584202006,0.045768921095835524,0.10953334676504874,0.051355101494536565,-0.49336228754162326
XBANK,volatility,ridge,12,0.06729065014706453,0.07752703164089488,0.04794820260739755,0.09108980021890721,0.051355101494536565,-0.3103011811635361
XBANK,volatility,xgboost,12,0.05886606656367158,0.06805729426634584,0.03915444864816846,0.08440993793942865,0.051355101494536565,-0.1462554809658798
XUSIN,return,historical_mean,12,0.05945157857769027,0.06885654397297195,0.04349449075093861,0.07949120718598494,0.05945157857769027,0.0
XUSIN,return,persistence,12,0.07300126182472817,0.09548306950613603,0.04733868982502083,0.10429731782501937,0.05945157857769027,-0.22791124426294962
XUSIN,return,ridge,12,0.05677857516591175,0.06456036967106586,0.042954584684908925,0.07198679272213163,0.05945157857769027,0.04496101660758234
XUSIN,return,xgboost,12,0.04361450483235075,0.056275848563989636,0.024825462302975502,0.06468726521368573,0.05945157857769027,0.2663860930899238
XUSIN,volatility,historical_mean,12,0.053450586423072155,0.05781414998246895,0.04269283028248832,0.06435689686578798,0.053450586423072155,0.0
XUSIN,volatility,persistence,12,0.0651227781131466,0.0794982246100986,0.048621719523540885,0.08358963982145445,0.053450586423072155,-0.21837350104424846
XUSIN,volatility,ridge,12,0.049461267987865966,0.056383126900972476,0.0377187449238992,0.059725524401400484,0.053450586423072155,0.07463563455842992
XUSIN,volatility,xgboost,12,0.055473133015183806,0.06766192020436242,0.041819286974905244,0.06923793106962658,0.053450586423072155,-0.03783955850554732
